파일이름	Subtitle	Machine Translation	Time	분	초
김씨네편의점_season01_01.xlsx	-KEVIN: Hello, Mr. Kim. -Kevin, how I can help you?	-케빈: 김 선생님, 안녕하세요. -케빈, 뭘 도와드릴까요?	0:08	0	08
김씨네편의점_season01_01.xlsx	-This is my friend, Roger. -Hello, Roger.	-이쪽은 제 친구 로저입니다. -안녕하세요, 로저.	0:11	0	11
김씨네편의점_season01_01.xlsx	-Nice to meet you. -Mmm.	-만나서 반갑습니다. -음.	0:13	0	13
김씨네편의점_season01_01.xlsx	We're performing for Pride Week,	프라이드 위크 공연을 하고,	0:14	0	14
김씨네편의점_season01_01.xlsx	and we would love to put our poster up in your window.	창문에 저희 포스터를 붙여도 될까요?	0:16	0	16
김씨네편의점_season01_01.xlsx	You group is call, "Gay Town Boys?"	당신들 그룹 이름이 "게이 타운 보이즈"인가요?	0:23	0	23
김씨네편의점_season01_01.xlsx	Yes it is and yes, we are.	네, 맞아요. 그리고 네, 그렇습니다.	0:26	0	26
김씨네편의점_season01_01.xlsx	It's, uh, messy poster. Who make?	포스터가 좀 지저분하네요. 누가 만들었어요?	0:29	0	29
김씨네편의점_season01_01.xlsx	Get refund.	환불받으세요.	0:32	0	32
김씨네편의점_season01_01.xlsx	-Is this because we're gay? -Of course it isn't.	-우리가 게이여서 그런가요? -물론 그렇지 않습니다.	0:35	0	35
김씨네편의점_season01_01.xlsx	It's okay. Don't mind him.	괜찮아요. 그분은 신경 쓰지 마세요.	0:37	0	37
김씨네편의점_season01_01.xlsx	No. I have no problem with the gay,	아니요. 저는 게이에 아무런 문제가 없어요,	0:38	0	38
김씨네편의점_season01_01.xlsx	but I have problem with parade.	하지만 퍼레이드에는 문제가 있어요.	0:40	0	40
김씨네편의점_season01_01.xlsx	Traffic, garbage, noise.	교통 체증, 쓰레기, 소음.	0:42	0	42
김씨네편의점_season01_01.xlsx	If you is the gay,	당신이 게이라면,	0:45	0	45
김씨네편의점_season01_01.xlsx	why can't you be quiet, respectful gay, huh?	왜 조용하고 존중하는 게이가 될 수 없나요, 어?	0:46	0	46
김씨네편의점_season01_01.xlsx	Like Anderson Cooper, y'know?	앤더슨 쿠퍼처럼, 아시죠?	0:49	0	49
김씨네편의점_season01_01.xlsx	Neil Patrick Harris, y'know?	닐 패트릭 해리스처럼, 아시죠?	0:51	0	51
김씨네편의점_season01_01.xlsx	They is all the gay,	그들은 모두 게이지만,	0:53	0	53
김씨네편의점_season01_01.xlsx	but they don't yelling to me they is the gay.	하지만 그들은 나에게 '우리는 게이'라고 소리치지 않아.	0:54	0	54
김씨네편의점_season01_01.xlsx	It's not about being loud, Mr. Kim...	큰 소리를 내는 게 아니라, 김 선생님...	0:57	0	57
김씨네편의점_season01_01.xlsx	Kevin, some people don't like Korean,	케빈, 어떤 사람들은 한국어를 싫어하지만,	0:58	0	58
김씨네편의점_season01_01.xlsx	but we don't make big parade yelling at people,	우리는 사람들에게 소리치며 큰 행세를 하지 않아요,	1:01	1	01
김씨네편의점_season01_01.xlsx	"We is Korean, we is Korean!" (CHUCKLES)	"우리는 한국인입니다, 우리는 한국인입니다!" (웃음)	1:03	1	03
